,Habitat,Spp,A,D,hv,xmax,Asd,Dsd,hvsd,xmaxsd,Refs
1,Kelp,Laminaria hyperborea,0.034,21.25,1.34,NA,NA,0.353553391,0.438406204,NA,Schoschina 1997 Sarsia;Mork 1996
2,Kelp,Macrocystis pyrifera,0.01,6.288888889,46.66666667,196.25,NA,2.918396313,12.58305739,114.9909417,"Jackson et al. 1987 Mar Bio;Jackson & Winant 1983;Rosman et al. 2007 JGR;Elwany et al. 1995;Elwany & Flick 1996 JWPCOE;Santelices & Ojeda 1984 MEPS;Mark Readdie, UCSC. http://bio.research.ucsc.edu/people/carr/macrocystis/morphology.htm;Gaylord et al. 2007 Limnol Oceanog"
3,Mangrove,Avicennia alba,0.447775,0.063666085,NA,NA,NA,NA,NA,NA,Tanaka et al. 2007 Land Ecol Eng
4,Mangrove,Kandelia candel,0.105523333,1.3466,1.854055,1500,0.113723035,NA,2.142102212,NA,Mazda et al. 1997;Alongi et al. 2005;Khan et al. 2005;Lee et al. 1989 ECSS
5,Mangrove,Kandelia spp.,NA,1.14,NA,NA,NA,NA,NA,NA,Liu et al. 2003
6,Mangrove,Mix,NA,NA,NA,750,NA,NA,NA,636.3961031,Brinkman et al. 1997 Pacific Coasts and Ports '97;Das & Vincent 2009 PNAS;Cooper et al. 2005 J Coast Res;Moeller et al. 1996 J Coast Res;Moller 2006 ECSS;Yang 1998 ECSS
7,Mangrove,Rhizophora apiculata,0.1245,0.389093895,NA,NA,NA,NA,NA,NA,Tanaka et al. 2007 Land Ecol Eng
8,Marsh,Acorus calamus,0.014525,38,1.725,NA,0.006399316,NA,0.035355339,NA,http://en.wikipedia.org/wiki/Acorus_calamus;http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200027130;http://titanarum.uconn.edu/199700056.html;Pai & McCarthy 2005 Castanea;Dykyjova 1980 Fiolia Geobot Phytotax
9,Marsh,Atriplex portulacoides,NA,NA,0.7,NA,NA,NA,0.327871926,NA,Wikipedia;Correia das Neves et al. 2008 Acta Physiol Plant;http://nlbif.eti.uva.nl/bis/flora.php?menuentry=soorten&id=1835
10,Marsh,Mix,NA,NA,NA,1512.833333,NA,NA,NA,1668.236894,Brinkman et al. 1997 Pacific Coasts and Ports '97;Das & Vincent 2009 PNAS;Cooper et al. 2005 J Coast Res;Moeller et al. 1996 J Coast Res;Moller 2006 ECSS;Yang 1998 ECSS
11,Marsh,Phragmites australis,0.00525,214.625,2.3,NA,0.003252691,101.9128508,0.989949494,NA,;Hellings & Gallagher 1992 J Appl Acol;Unni 1977 Hydrobiologia;Leonard et al. 2002 Wetlands
12,Marsh,Puccinellia maritima,0.0127,22250,0.45,NA,NA,NA,NA,NA,Fox & Kahlert 2000 Bird Study;http://www.kew.org/data/grasses-db/www/imp08790.htm;http://des.nh.gov/organization/commissioner/pip/publications/wd/documents/wd-04-19.pdf
13,Marsh,Salicornia europaea,1.00E-04,10000,0.095,NA,NA,NA,NA,NA,Ellison 1987 Ecology
14,Marsh,Schoenoplectus acutus,0.0106,100,2.75,NA,NA,NA,NA,NA,Allen et al. 2008
15,Marsh,Schoenoplectus lacustris,0.013775,177.5,2.15,NA,0.001732412,112.7707852,NA,NA,Unni 1977 Hydrobiologia;Jain et al. 2005 Current Science;Bonham 1983
16,Marsh,Scirpus mariqueter,0.0025,NA,0.55,NA,NA,NA,NA,NA,Yang et al. 2009 Aquatic Botany
17,Marsh,Scirpus validus,0.006,NA,3,NA,NA,NA,NA,NA,http://plants.usda.gov/java/charProfile?symbol=SCTA2;http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242357954
18,Marsh,Spartina alterniflora,0.00865,528.25,1.8,NA,0.002378375,252.0835675,0.614410286,NA,"Leonard et al. 2002 Wetlands;http://herbarium.usu.edu/webmanual/info2.asp?name=Spartina_alterniflora&type=treatment;http://ucjeps.berkeley.edu/cgi-bin/get_JM_treatment.pl?8738,9293,9294;Augustin et al. 2009 Coast Eng"
19,Marsh,Spartina anglica,0.005,2400,0.1,NA,NA,NA,NA,NA,Bouma et al. 2005
20,Marsh,Spartina maritima,NA,2685,0.275,NA,NA,NA,NA,NA,Neumeier & Ciavola 2004 J Coast Res
21,Marsh,Typha angustifolia,0.027,46.25,2.586666667,NA,NA,30.75914498,NA,NA,Grace & Wetzel 1982 Can J Bot;Bonham 1983
22,Marsh,Typha latifolia,NA,17.33333333,1.726666667,NA,NA,NA,NA,NA,Grace & Wetzel 1982 Can J Bot
23,Seagrass,Halodule wrightii,9.00E-04,1363.333334,0.14,NA,NA,1546.206828,0.025980762,NA,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=222000075;Bradley & Houser 2009;Fonseca & Cahalan 1992
24,Seagrass,Posidonia australis,0.01,250,0.32,NA,NA,NA,0.028284271,NA,Wallace & Cox 1997;Cox et al. 2003
25,Seagrass,Ruppia maritima,4.00E-04,1591.333333,0.6,200,NA,NA,NA,NA,Newell & Koch 2004; Koch et al. 2006 USACE;http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=220011791
26,Seagrass,Syringodium filiforme,0.00115,716.6666667,0.2925,NA,NA,NA,0.166170094,NA,Fonseca & Cahalan 1992;http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=220013215
27,Seagrass,Thalassia testudinum,0.0075,550.9166666,0.238333333,NA,NA,375.352226,0.045368859,NA,"Diaz-Diaz & Linero-Arana 2007 Acta Bot Venez;Ibanez-Aguirre & Solis-Weiss 1986;Lewis & Stoner 1983;Linero-Arana & Diaz-Diaz 2006;;Algaebase, ""Thalassia Banks ex Kšnig, 1805: 96"", http://www.algaebase.org/search/genus/detail/?genus_id=43004;den Hartog, C. (2005). ""Taxonomy and biogeorgraphy of seagrasses"". in Larkum, Anthony W.D.; Duarte, Carlos; Orth, Robert J.. Seagrasses: Biology, Ecology and Conservation. Springer-Verlag New York, LLC.;Bradley & Houser 2009;Koch 1996;Fonseca & Cahalan 1992"
28,Seagrass,Zostera japonica,NA,7500,NA,NA,NA,NA,NA,NA,Kaldy 2006 Hydrobiologia
29,Seagrass,Zostera marina,0.006583333,2249.818953,0.62298519,NA,0.003642915,2645.805144,0.443121794,NA,"http://en.wikipedia.org/wiki/Zostera;den Hartog, C. 1970. The Sea Grasses of the World. North-Holland Publishing Company, Amsterdam.;http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200024703;Short 1983 Aquatic Botany;Huber 2003;Fonseca & Cahalan 1992"
30,Seagrass,Zostera noltii,0.005,12700,0.1,NA,NA,989.9494937,NA,NA,Bouma et al. 2005;Vermaat & Verhagen 1996 Aquatic Botany
31,Marsh,Spartina spp.,0.006825,1871.083333,9.8,NA,0.00258094,1171.625909,15.35219854,NA,NA
32,Marsh,Salicornia spp.,1.00E-04,10000,0.095,NA,NA,NA,NA,NA,NA
33,Mangrove,"Avicennia spp., Rhizophora spp.",0.2861375,0.22637999,NA,NA,0.228589945,0.230112212,NA,NA,NA
