Spp,Habitat,A (m),D (shoots/m2),hv (m),Bed width (m),Ref,Location,Month,Notes
Laminaria hyperborea,Kelp,,3,,,Schoschina 1997 Sarsia,Russia,,
Laminaria hyperborea,Kelp,,40,,,Schoschina 1997 Sarsia,Russia,,
Laminaria hyperborea,Kelp,0.04,,1.17,,Schoschina 1997 Sarsia,Russia,,
Laminaria hyperborea,Kelp,0.028,,0.89,,Schoschina 1997 Sarsia,Russia,,
Laminaria hyperborea,Kelp,,21,1.65,,Mork 1996,,,
Macrocystis pyrifera,Kelp,0.01,,,,Jackson et al. 1987 Mar Bio,North America,,
Macrocystis pyrifera,Kelp,,0.8,,,Jackson & Winant 1983,southern California,,Used densities in individuals/m2 and 40 fronds/individual (see pg.1)
Macrocystis pyrifera,Kelp,,5.6,,,Jackson & Winant 1983,southern California,,Used densities in individuals/m2 and 40 fronds/individual (see pg.1)
Macrocystis pyrifera,Kelp,,5,45,,Rosman et al. 2007 JGR,"Terrace Point, Santa Cruz, CA",May,Used densities in individuals/m2 and 100 fronds/individual (see paragraph 3)
Macrocystis pyrifera,Kelp,,6,,,Rosman et al. 2007 JGR,"Terrace Point, Santa Cruz, CA",October,Used densities in individuals/m2 and 100 fronds/individual (see paragraph 3)
Macrocystis pyrifera,Kelp,,9,,,Rosman et al. 2007 JGR,"Natural Bridges, Santa Cruz, CA",October,Used densities in individuals/m2 and 100 fronds/individual (see paragraph 3)
Macrocystis pyrifera,Kelp,,,,350,Elwany et al. 1995,southern California,,
Macrocystis pyrifera,Kelp,,6,35,200,Elwany & Flick 1996 JWPCOE,southern California,,Used individuals/m2 and 100 fronds/individual (see pg.1)
Macrocystis pyrifera,Kelp,,12,35,,Elwany & Flick 1996 JWPCOE,southern California,,Used individuals/m2 and 100 fronds/individual (see pg.1)
Macrocystis pyrifera,Kelp,,,,50,Santelices & Ojeda 1984 MEPS,Chile,,
Macrocystis pyrifera,Kelp,,,,100,Santelices & Ojeda 1984 MEPS,Chile
Macrocystis pyrifera,Kelp,,,60,,"Mark Readdie, UCSC. http://bio.research.ucsc.edu/people/carr/macrocystis/morphology.htm",
Macrocystis pyrifera,Kelp,,,,160,Gaylord et al. 2007 Limnol Oceanog,"Santa Barbara, CA"
Avicennia alba,Mangrove,0.298,0.1682689,,,Tanaka et al. 2007 Land Ecol Eng,Sri Lanka and Thailand
Avicennia alba,Mangrove,0.3993,0.015368819,,,Tanaka et al. 2007 Land Ecol Eng,Sri Lanka and Thailand
Avicennia alba,Mangrove,0.5967,0.009797527,,,Tanaka et al. 2007 Land Ecol Eng,Sri Lanka and Thailand
Avicennia alba,Mangrove,0.4971,0.061229092,,,Tanaka et al. 2007 Land Ecol Eng,Sri Lanka and Thailand
Kandelia candel,Mangrove,0.2368,1.3466,0.33936,1500,Mazda et al. 1997,Vietnam
Kandelia candel,Mangrove,0.04267,,,,Alongi et al. 2005,China
Kandelia candel,Mangrove,0.0371,,,,Khan et al. 2005,Japan
Kandelia candel,Mangrove,,,3.36875,,Lee et al. 1989 ECSS,Hong Kong
Kandelia spp.,Mangrove,,1.14,,,Liu et al. 2003,Taiwan
Rhizophora apiculata,Mangrove,0.1005,0.985362674,,,Tanaka et al. 2007 Land Ecol Eng,Sri Lanka and Thailand
Rhizophora apiculata,Mangrove,0.0987,0.428922481,,,Tanaka et al. 2007 Land Ecol Eng,Sri Lanka and Thailand
Rhizophora apiculata,Mangrove,0.1503,0.061323135,,,Tanaka et al. 2007 Land Ecol Eng,Sri Lanka and Thailand
Rhizophora apiculata,Mangrove,0.1485,0.080767291,,,Tanaka et al. 2007 Land Ecol Eng,Sri Lanka and Thailand
Mix,Mangrove,,,,300,Brinkman et al. 1997 Pacific Coasts and Ports '97,Australia
Mix,Mangrove,,,,1200,Das & Vincent 2009 PNAS,"Orissa, India"
Acorus calamus,Marsh,0.01,,,,http://en.wikipedia.org/wiki/Acorus_calamus,
Acorus calamus,Marsh,,,1.75,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200027130,
Acorus calamus,Marsh,0.01905,,,,http://titanarum.uconn.edu/199700056.html,
Acorus calamus,Marsh,,38,,,Pai & McCarthy 2005 Castanea,Ohio
Acorus calamus,Marsh,,,1.7,,Dykyjova 1980 Fiolia Geobot Phytotax,Europe
Atriplex portulacoides,Marsh,,,0.75,,Wikipedia,Eurasia
Atriplex portulacoides,Marsh,,,0.35,,Correia das Neves et al. 2008 Acta Physiol Plant,
Atriplex portulacoides,Marsh,,,1,,http://nlbif.eti.uva.nl/bis/flora.php?menuentry=soorten&id=1835,
Phragmites australis,Marsh,0.00295,158,,,,
Phragmites australis,Marsh,,200,2,,Hellings & Gallagher 1992 J Appl Acol,
Phragmites australis,Marsh,,,4,,Hellings & Gallagher 1992 J Appl Acol,
Phragmites australis,Marsh,,138,1,,Unni 1977 Hydrobiologia,India
Phragmites australis,Marsh,,,2.2,,Unni 1977 Hydrobiologia,India
Phragmites australis,Marsh,0.0082,325,,,Leonard et al. 2002 Wetlands,
Phragmites australis,Marsh,0.0069,400,,,Leonard et al. 2002 Wetlands,,
Puccinellia maritima,Marsh,,12100,,,Fox & Kahlert 2000 Bird Study,Denmark,May
Puccinellia maritima,Marsh,,32400,,,Fox & Kahlert 2000 Bird Study,Denmark,June
Puccinellia maritima,Marsh,,,0.1,,http://www.kew.org/data/grasses-db/www/imp08790.htm,,
Puccinellia maritima,Marsh,,,0.8,,http://www.kew.org/data/grasses-db/www/imp08790.htm,,
Puccinellia maritima,Marsh,0.0127,,,,http://des.nh.gov/organization/commissioner/pip/publications/wd/documents/wd-04-19.pdf,New Hampshire,
Mix,Marsh,,,,425,Cooper et al. 2005 J Coast Res,England,
Mix,Marsh,,,,542,Cooper et al. 2005 J Coast Res,England,
Mix,Marsh,,,,387,Cooper et al. 2005 J Coast Res,England,
Mix,Marsh,,,,900,Moeller et al. 1996 J Coast Res,England,
Mix,Marsh,,,,700,Moller 2006 ECSS,England,
Mix,Marsh,,,,4000,Yang 1998 ECSS,China,
Salicornia europaea,Marsh,0.0001,10000,0.095,,Ellison 1987 Ecology,August,
Schoenoplectus acutus,Marsh,0.0106,100,2.75,,Allen et al. 2008,,
Schoenoplectus lacustris,Marsh,,182,,,Unni 1977 Hydrobiologia,India,
Schoenoplectus lacustris,Marsh,,265,,,Unni 1977 Hydrobiologia,India,
Schoenoplectus lacustris,Marsh,0.005,,1.3,,Jain et al. 2005 Current Science,India
Schoenoplectus lacustris,Marsh,0.025,,3,,Jain et al. 2005 Current Science,India
Schoenoplectus lacustris,Marsh,,65,,,Jain et al. 2005 Current Science,India
Schoenoplectus lacustris,Marsh,,50,,,Jain et al. 2005 Current Science,India
Schoenoplectus lacustris,Marsh,,32,,,Jain et al. 2005 Current Science,India
Schoenoplectus lacustris,Marsh,0.0118,408,,,Bonham 1983,England
Schoenoplectus lacustris,Marsh,0.0133,112,,,Bonham 1983,England
Scirpus mariqueter,Marsh,0.002,,0.2,,Yang et al. 2009 Aquatic Botany,
Scirpus mariqueter,Marsh,0.003,,0.9,,Yang et al. 2009 Aquatic Botany,
Scirpus validus,Marsh,,,3,,http://plants.usda.gov/java/charProfile?symbol=SCTA2,
Scirpus validus,Marsh,0.002,,,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242357954,
Scirpus validus,Marsh,0.01,,,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242357954,
Spartina anglica,Marsh,0.005,2400,0.1,,Bouma et al. 2005,Netherlands
Spartina alterniflora,Marsh,0.0048,682,,,Leonard et al. 2002 Wetlands,
Spartina alterniflora,Marsh,0.0054,731,,,Leonard et al. 2002 Wetlands,
Spartina alterniflora,Marsh,0.01,,2.5,,http://herbarium.usu.edu/webmanual/info2.asp?name=Spartina_alterniflora&type=treatment,
Spartina alterniflora,Marsh,0.005,,0.6,,"http://ucjeps.berkeley.edu/cgi-bin/get_JM_treatment.pl?8738,9293,9294",California
Spartina alterniflora,Marsh,0.014,,2.5,,"http://ucjeps.berkeley.edu/cgi-bin/get_JM_treatment.pl?8738,9293,9294",California
Spartina alterniflora,Marsh,0.01,100,0.3,,Augustin et al. 2009 Coast Eng,
Spartina alterniflora,Marsh,,600,2.4,,Augustin et al. 2009 Coast Eng,
Spartina maritima,Marsh,,2340,0.2,,Neumeier & Ciavola 2004 J Coast Res,Portugal
Spartina maritima,Marsh,,3030,0.35,,Neumeier & Ciavola 2004 J Coast Res,Portugal
Typha angustifolia,Marsh,,2,,,Grace & Wetzel 1982 Can J Bot,Michigan
Typha angustifolia,Marsh,,29,2.51,,Grace & Wetzel 1982 Can J Bot,Michigan
Typha angustifolia,Marsh,,43,2.68,,Grace & Wetzel 1982 Can J Bot,Michigan
Typha angustifolia,Marsh,,24,2.57,,Grace & Wetzel 1982 Can J Bot,Michigan
Typha angustifolia,Marsh,0.027,68,,,Bonham 1983,
Typha latifolia,Marsh,,10,1.52,,Grace & Wetzel 1982 Can J Bot,Michigan
Typha latifolia,Marsh,,18,1.73,,Grace & Wetzel 1982 Can J Bot,Michigan
Typha latifolia,Marsh,,24,1.93,,Grace & Wetzel 1982 Can J Bot,Michigan
Halodule wrightii,Seagrass,0.0003,,0.05,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=222000075,
Halodule wrightii,Seagrass,0.0015,,0.2,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=222000075,
Halodule wrightii,Seagrass,,270,0.125,,Bradley & Houser 2009,Florida,September
Halodule wrightii,Seagrass,,2456.666667,0.17,,Fonseca & Cahalan 1992,Florida,
Posidonia australis,Seagrass,,,0.3,,Wallace & Cox 1997,Australia,
Posidonia australis,Seagrass,0.005,,0.31,,Cox et al. 2003,Australia,
Posidonia australis,Seagrass,0.015,,0.37,,Cox et al. 2003,Australia,
Posidonia australis,Seagrass,,100,,,Cox et al. 2003,Australia,
Posidonia australis,Seagrass,,400,,,Cox et al. 2003,Australia,
