%Rundate Bay# WaveHeight WavePeriod	 Survey#			
82305	15	0.6	4	2
82306	9	0.6	4	3
82401	8	0.6	4	4
82403	7	0.6	4	5
82404	6	0.6	4	6
82405	5	0.6	4	7
82406	10	0.6	4	8
82407	11	0.6	4	9
82501	12	0.6	4	10
82502	12	0.6	4	11
82503	13	0.6	4	12
82504	5.5	0.6	4	13
82505	6.5	0.6	4	14
82506	7.5	0.6	4	15
82604	6	0.3	8	16
82605	12	0.3	8	17
82606	12	0.3	8	18
82607	9	0.3	8	19
82608	8	0.3	8	20
83001	7	0.3	8	22
83002	5	0.3	8	23
83003	5.5	0.3	8	24
83008	6.5	0.3	8	25
83009	7.5	0.3	8	NaN
83010	8.5	0.3	8	26
83011	9.5	0.3	8	NaN
83012	10.5	0.3	8	27
83013	11.5	0.3	8	NaN
83015	11.5	0.3	8	28
83101	9	0.3	8	NaN
83102	8	0.3	8	29
83103	7	0.3	8	30
83105	6	0.3	8	NaN
83106	5	0.3	8	31
83107	5.5	0.3	8	32
83108	6.5	0.3	8	NaN
83109	7.5	0.3	8	33
83112	8.5	0.3	8	NaN
83113	9.5	0.3	8	34
83115	12	0.3	8	NaN
90101	10.5	0.3	8	35
90102	11.5	0.3	8	NaN
90103	10	0.3	8	36
90104	9	0.3	8	NaN
90105	8	0.3	8	37
90108	11	0.3	8	38
90109	12	0.32	8	39
90110	12	0.32	8	NaN
90111	10	0.32	8	40
90201	9	0.32	8	NaN
90202	8	0.32	8	41
90204	7	0.32	8	NaN
90205	6.5	0.32	8	42
90206	6	0.32	8	NaN
90207	5.5	0.32	8	43
90208	5	0.32	8	NaN
90209	4	0.32	8	44
90210	12	0.32	3.5	45
90301	12	0.35	3.5	46
90302	12	0.4	3.5	47
90303	12	0.45	3.5	48
90304	12	0.5	3.5	49
90305	12	0.55	3.5	50
90306	12	0.45	3.5	51
90501	7	0.45	3.5	52
90502	7	0.45	3.5	53
90503	6.5	0.45	3.5	54
90504	7	0.4	5.5	55
90505	7	0.35	5.5	56
90506	7	0.35	5.5	57
90507	7	0.35	5.5	58
90508	8	0.35	5.5	NaN
90509	9	0.35	5.5	59
90510	10.5	0.35	5.5	NaN
90511	6	0.35	5.5	60
90601	5.5	0.35	5.5	NaN
90602	5	0.35	5.5	61
90603	4.5	0.35	5.5	NaN
90604	4	0.35	5.5	62
90605	6.5	0.35	5.5	NaN
90606	7	0.35	5.5	63
90607	7.5	0.35	5.5	NaN
90608	8.5	0.35	5.5	64
90609	9.5	0.35	5.5	NaN
90610	10.5	0.35	5.5	65
90611	10.5	0.35	5.5	NaN
90612	9.5	0.4	5.5	66
90613	8.5	0.4	5.5	NaN
90614	7.5	0.32	5.5	67
90701	6.5	0.32	3.5	NaN
90702	7	0.25	3.5	68
90703	7	0.25	3.5	NaN
90704	6.5	0.25	3.5	69
90705	6	0.25	3.5	NaN
90706	5.5	0.25	3.5	70
90707	5	0.25	3.5	NaN
90708	4.5	0.25	3.5	71
90709	4	0.25	3.5	NaN
90710	9.5	0.25	3.5	72
90711	6.5	0.25	3.5	NaN
90712	7	0.25	3.5	73
90801	7.5	0.25	3.5	NaN
90802	8	0.25	3.5	74
90803	8.5	0.25	3.5	NaN
90804	9	0.25	3.5	75
90805	9.5	0.25	3.5	NaN
90806	8.5	0.225	3.5	76
90807	9.5	0.225	3.5	NaN
90808	8.5	0.225	3.5	77
90810	7.5	0.225	3.5	NaN
90811	6.5	0.225	3.5	78
90812	5.5	0.225	3.5	79
90813	7	0.225	3.5	NaN
90814	6	0.225	3.5	80
90901	6.5	0.225	3.5	NaN
90902	8	0.225	3.5	81
90903	7	0.225	3.5	NaN
90904	6	0.225	3.5	NaN
90905	5	0.225	3.5	NaN
90906	4	0.225	3.5	82
90907	7.5	0.225	3.5	NaN
90908	6.5	0.2	3.5	83
90909	5.5	0.2	3.5	NaN
90910	6.5	0.2	3.5	84
90911	7.5	0.2	3.5	NaN
90912	6.5	0.2	3.5	NaN
90913	5.5	0.2	3.5	NaN
90914	4.5	0.2	3.5	85
91001	8.5	0.2	3.5	NaN
91002	7.5	0.2	3.5	NaN
91003	6.5	0.2	3.5	NaN
91004	5.5	0.2	3.5	86
91005	4.5	0.2	3.5	NaN
91006	9	0.2	3.5	NaN
91007	8	0.2	3.5	NaN
91008	7	0.2	3.5	87
91009	6	0.2	3.5	NaN
91010	5	0.175	3.5	88
91011	4	0.175	3.5	NaN
91012	4.5	0.175	3.5	NaN
91013	5.5	0.175	3.5	NaN
91014	6.5	0.175	3.5	89
