%kk,PairID,WaveType,T,D,A,hv,H1,x1,h1,H2,x2,h2,H3,x3,h3,H4,x4,h4,H5,x5,h5,H6,x6,h6,H7,x7,h7,H8,x8,h8,H9,x9,h9,Field,id,StudyID,ReMean, ReSd, KCMean, KCSd,Re2Mean, Re2Sd, KC2Mean, KC2Sd
19,3,1,13.8,4,0.01,10.5,0.3464823228,63,13,0.3726452737,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,300,11,1663.662715,0,268.6149819,0,6654.650859,0,616.4470754,0
20,NaN,1,14.90207639,9,0.01,11.8,0.6622942688,35,11.134,0.7447084034,128,7.715307756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,797,43,3420.808431,0,596.4326381,0,30787.27588,0,665.6769136,0
21,NaN,1,14.48260251,9,0.01,11.8,0.6404189991,35,11.985,0.6262000489,128,8.568535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,798,43,2705.536256,0,458.4435122,0,24349.8263,0,646.9389827,0
22,NaN,1,13.66729591,9,0.01,11.8,0.5233533667,35,12.396,0.6292630895,128,8.9809325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,799,43,2628.33317,0,420.2898241,0,23654.99853,0,610.5191733,0
23,NaN,1,13.983813,9,0.01,11.8,0.5637845248,35,11.832,0.656973694,128,8.4272075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,800,43,2853.000676,0,466.781187,0,25677.00609,0,624.6580164,0
24,NaN,1,13.17309686,9,0.01,11.8,0.5155979666,35,11.767,0.5132027827,128,8.3723825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,801,43,2219.560331,0,342.0902537,0,19976.04298,0,588.4432632,0
25,NaN,1,14.95113173,9,0.01,11.8,0.6088885957,35,12.615,0.5809632065,128,9.2225725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,802,43,2418.282895,0,423.0259737,0,21764.54606,0,667.8682194,0
26,NaN,1,9.040047775,9,0.01,11.8,0.5433469349,35,12.829,0.5428181437,128,9.4275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,803,43,1995.914919,0,211.1050448,0,17963.23427,0,403.8196385,0
27,NaN,1,9.846262062,9,0.01,11.8,0.5994421161,35,11.796,0.5862123706,128,8.40077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,804,43,2389.387351,0,275.2604482,0,21504.48616,0,439.8332936,0
28,NaN,1,13.75851917,9,0.01,11.8,0.6171126324,35,11.055,0.4589907151,128,7.6694675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,805,43,2097.321979,0,337.6157225,0,18875.89781,0,614.5941234,0
29,NaN,1,13.90101498,9,0.01,11.8,0.582035017,35,11.576,0.3967978114,128,8.1870475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,806,43,1750.22925,0,284.6605673,0,15752.06325,0,620.9594224,0
30,NaN,1,15.46839526,9,0.01,11.8,0.8246692868,35,12.249,0.6865794819,128,8.857029769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,807,43,2933.715644,0,530.944516,0,26403.4408,0,690.9744216,0
31,NaN,1,14.1977475,9,0.01,11.8,0.6948480973,35,12.069,0.5943248562,128,8.67938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,808,43,2543.307636,0,422.4781036,0,22889.76872,0,634.2144872,0
32,NaN,1,12.35638001,9,0.01,11.8,0.4532832384,35,11.845,0.5148522811,128,8.4665975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,809,43,2190.920947,0,316.740666,0,19718.28853,0,551.9604579,0
33,NaN,1,12.58901772,9,0.01,11.8,0.5230590378,35,12.456,0.6705278061,128,9.072353696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,810,43,2749.217408,0,404.9363761,0,24742.95668,0,562.3524025,0
34,NaN,1,10.4900946,9,0.01,11.8,0.4505764618,35,12.914,0.5404898321,128,9.52164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,811,43,2069.693536,0,254.0219875,0,18627.24182,0,468.5933432,0
35,NaN,1,10.7134065,9,0.01,11.8,0.4780035287,35,12.199,0.5070976595,128,8.8133775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,812,43,2048.708297,0,256.799144,0,18438.37468,0,478.5687032,0
36,NaN,1,12.55798501,9,0.01,11.8,0.4500018287,35,11.214,0.4815777333,128,7.837335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,813,43,2148.162619,0,315.6261495,0,19333.46357,0,560.966169,0
37,NaN,1,12.26433,9,0.01,11.8,0.5394757225,35,11.281,0.5587020539,128,7.9044375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,814,43,2471.090347,0,354.5833295,0,22239.81313,0,547.8485768,0
38,NaN,1,10.90444588,9,0.01,11.8,0.5064556427,35,12.022,0.6374910502,128,8.64342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,815,43,2617.069051,0,333.8909477,0,23553.62146,0,487.1024472,0
39,NaN,1,10.18450118,9,0.01,11.8,0.5157723696,35,12.204,0.4990479237,128,8.821695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,816,43,1990.022949,0,237.1284755,0,17910.20654,0,454.9424613,0
40,NaN,1,11.89753081,9,0.01,11.8,0.4978504572,35,11.997,0.6034772798,128,8.6195375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,817,43,2525.029532,0,351.4869149,0,22725.26579,0,531.4636284,0
41,NaN,1,12.66867036,9,0.01,11.8,0.4932856398,35,12.26,0.4681427294,128,8.8849825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,818,43,1944.947421,0,288.2868036,0,17504.52679,0,565.9104922,0
42,NaN,1,13.24357333,9,0.01,11.8,0.6371421689,35,12.777,0.7728451237,128,9.3981375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,819,43,3130.372278,0,485.0505834,0,28173.35051,0,591.5914526,0
43,NaN,1,12.10635743,9,0.01,11.8,0.6130217943,35,12.495,0.443320377,128,9.115167299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,820,43,1800.172966,0,254.9843871,0,16201.55669,0,540.7919298,0
44,NaN,1,11.08086432,9,0.01,11.8,0.4679146774,35,11.502,0.4678543796,128,8.126455692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,821,43,2000.128111,0,259.3088342,0,18001.153,0,494.9830726,0
45,NaN,1,13.54899305,9,0.01,11.8,0.4813759562,35,11.1,0.5097766204,128,7.7269625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,822,43,2315.260952,0,367.0226182,0,20837.34857,0,605.2345753,0
46,NaN,1,10.90414331,9,0.01,11.8,0.4434118184,35,11.668,0.4188893085,128,8.2946879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,823,43,1763.184589,0,224.9444041,0,15868.6613,0,487.0889314,0
47,NaN,1,11.71360154,9,0.01,11.8,0.5540991474,35,12.183,0.4890953634,128,8.80716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,824,43,2014.643006,0,276.1050873,0,18131.78705,0,523.2474936,0
48,NaN,1,11.62561595,9,0.01,11.8,0.4889566672,35,12.12,0.587032911,128,8.7445025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,825,43,2424.853557,0,329.8278694,0,21823.68201,0,519.3171704,0
49,NaN,1,11.47441573,9,0.01,11.8,0.5852073771,35,12.131,0.6296557233,128,8.762857487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,826,43,2590.821103,0,347.8194534,0,23317.38992,0,512.5630448,0
50,NaN,1,8.744772913,9,0.01,11.8,0.518686369,35,12.552,0.5258526162,128,9.1808425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,827,43,1944.405649,0,198.9396145,0,17499.65084,0,390.6296875,0
51,NaN,1,8.939932878,9,0.01,11.8,0.6749846635,35,12.667,0.5678394357,128,9.291190075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,828,43,2100.13067,0,219.6678185,0,18901.17603,0,399.3474983,0
52,NaN,1,10.85922941,9,0.01,11.8,0.566559517,35,11.894,0.554321535,128,8.516929977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,829,43,2294.089414,0,291.4709058,0,20646.80472,0,485.0826239,0
53,NaN,1,13.49140219,9,0.01,11.8,0.6325825988,35,11.107,0.6229893144,128,7.735858044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,830,43,2826.392018,0,446.1443002,0,25437.52817,0,602.6619871,0
54,NaN,1,13.81740951,9,0.01,11.8,0.9169169326,35,11.344,1.017377606,128,7.986065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,831,43,4546.771587,0,735.0478782,0,40920.94429,0,617.2247595,0
55,NaN,1,11.72893876,9,0.01,11.8,0.7617665687,35,12.07,0.7176333548,128,8.7234425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,832,43,2973.611632,0,408.0645122,0,26762.50469,0,523.9326084,0
56,NaN,1,12.716875,9,0.01,11.8,0.9291989876,35,12.249,0.7133373995,128,8.909635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,833,43,2960.685019,0,440.5127372,0,26646.16517,0,568.0637972,0
57,NaN,1,12.3444075,9,0.01,11.8,0.7506793842,35,12.071,1.032931881,128,8.7373125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,834,43,4315.309859,0,623.2583376,0,38837.78873,0,551.425645,0
58,NaN,1,12.40199999,9,0.01,11.8,0.8647811195,35,12.292,0.7395836102,128,8.9652675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,835,43,3045.736367,0,441.946702,0,27411.6273,0,553.998306,0
59,NaN,1,12.275,9,0.01,11.8,0.7342789186,35,12.698,0.6041754203,128,9.369955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,836,43,2419.78699,0,347.5237581,0,21778.08291,0,548.3252065,0
60,NaN,1,11.84309006,9,0.01,11.8,0.605835112,35,12.28,0.637242235,128,8.946264601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,837,43,2605.962578,0,361.0929992,0,23453.6632,0,529.0317558,0
61,NaN,1,13.14686635,9,0.01,11.8,0.8762324704,35,11.334,0.8538869127,128,8.008065656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,838,43,3786.546554,0,582.4402912,0,34078.91898,0,587.2715443,0
62,NaN,1,12.51004782,9,0.01,11.8,0.8262118185,35,11.144,0.6497027573,128,7.829313416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,839,43,2897.976828,0,424.1697958,0,26081.79145,0,558.824811,0
63,NaN,1,11.8320458,9,0.01,11.8,0.7155509171,35,11.903,0.7755279094,128,8.595274234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,840,43,3246.819516,0,449.4732515,0,29221.37565,0,528.5384079,0
64,NaN,1,12.46800336,9,0.01,11.8,0.8242412935,35,12.404,0.7888546546,128,9.096303807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,841,43,3224.080497,0,470.3148038,0,29016.72448,0,556.9466816,0
65,NaN,1,11.73192177,9,0.01,11.8,0.8798104034,35,12.142,0.835084829,128,8.837955501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,842,43,3433.697197,0,471.3212427,0,30903.27477,0,524.0658597,0
66,NaN,1,11.46075891,9,0.01,11.8,0.7388765558,35,12.066,0.8433336446,128,8.7695025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,843,43,3467.635799,0,464.9783331,0,31208.72219,0,511.9529936,0
67,NaN,1,9.968992644,9,0.01,11.8,1.012471462,35,12.572,0.6846337063,128,9.270165992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,844,43,2629.256255,0,306.6691243,0,23663.30629,0,445.3156782,0
68,NaN,1,11.53690591,9,0.01,11.8,0.7589926259,35,12.58,0.7200654953,128,9.27797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,845,43,2865.827276,0,386.8345217,0,25792.44548,0,515.354486,0
69,NaN,1,11.75496154,9,0.01,11.8,0.6900876966,35,11.653,0.7271959584,128,8.36093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,846,43,3091.151152,0,425.135446,0,27820.36037,0,525.095048,0
70,NaN,1,10.88979016,9,0.01,11.8,0.6195679176,35,11.074,0.6957550893,128,7.779342903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,847,43,3042.923898,0,387.7005919,0,27386.31509,0,486.447775,0
71,NaN,1,11.500949,9,0.01,11.8,0.7729027921,35,11.695,0.7825999369,128,8.403194264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,848,43,3303.443118,0,444.5149507,0,29730.98806,0,513.748288,0
72,NaN,1,11.1768857,9,0.01,11.8,0.6235079181,35,12.421,0.5968298586,128,9.120615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,849,43,2384.03367,0,311.7590404,0,21456.30303,0,499.2723552,0
73,NaN,1,12.1484254,9,0.01,11.8,0.7213843541,35,12.238,0.5524564399,128,8.9364325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,850,43,2271.349655,0,322.8418655,0,20442.1469,0,542.6711093,0
74,NaN,1,10.44569449,9,0.01,11.8,0.6009014533,35,11.894,0.5629667779,128,8.603505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,851,43,2294.915946,0,280.472293,0,20654.24352,0,466.6099868,0
75,NaN,1,8.606845143,9,0.01,11.8,0.6994523175,35,12.351,0.5752627403,128,9.05755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,852,43,2133.681357,0,214.8619008,0,19203.13221,0,384.4684432,0
76,NaN,1,9.980960668,9,0.01,11.8,0.7616040915,35,12.732,0.5698682645,128,9.433187761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,853,43,2164.737502,0,252.7920704,0,19482.63751,0,445.8502908,0
77,NaN,1,12.21020667,9,0.01,11.8,0.7377411236,35,12.013,0.609963442,128,8.7164375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,854,43,2546.878329,0,363.8455559,0,22921.90496,0,545.4308834,0
78,NaN,1,13.13788232,9,0.01,11.8,0.73513834,35,11.167,0.7199398364,128,7.8763075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,855,43,3222.136844,0,495.2850396,0,28999.23159,0,586.870227,0
79,NaN,1,12.16799552,9,0.01,11.8,0.7924869712,35,11.535,0.9756711433,128,8.24119474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,856,43,4207.020955,0,598.9348419,0,37863.18859,0,543.5453081,0
80,NaN,1,10.9560531,9,0.01,11.8,0.7157607159,35,12.415,0.6612087666,128,9.113349408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,857,43,2630.441997,0,337.1853677,0,23673.97797,0,489.4077457,0
