%kk,PairID,WaveType,T,D,A,hv,H1,x1,h1,H2,x2,h2,H3,x3,h3,H4,x4,h4,H5,x5,h5,H6,x6,h6,H7,x7,h7,H8,x8,h8,H9,x9,h9,Field,id,StudyID,ReMean, ReSd, KCMean, KCSd,Re2Mean, Re2Sd, KC2Mean, KC2Sd
1,7,1,1.6,0,0,0,0.1549318058,0,0.49,0.1549318058,2.44,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,363,14,0,0,Inf,NaN,0,0,Inf,NaN
2,7,1,1.6,0,0,0,0.1275908989,0,0.53,0.1184772633,4.88,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,364,14,0,0,Inf,NaN,0,0,Inf,NaN
3,7,1,1.6,0,0,0,0.1458181702,0,0.58,0.1367045345,9.75,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,365,14,0,0,Inf,NaN,0,0,Inf,NaN
4,3,1,7.5,4,0.01,10.5,1.477853173,63,13,1.371787156,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,285,11,5236.908861,0,459.5387526,0,20947.63544,0,335.0255844,0
5,3,1,8.8,4,0.01,10.5,1.209152596,63,13,1.258650071,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,286,11,5121.773699,0,527.33782,0,20487.09479,0,393.0966857,0
6,3,1,13.5,4,0.01,10.5,0.940452019,63,13,1.166726189,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,287,11,5194.232576,0,820.4290353,0,20776.9303,0,603.046052,0
7,3,1,12.8,4,0.01,10.5,0.7990306627,63,13,0.975807358,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,288,11,4313.741642,0,646.0259482,0,17254.96657,0,571.7769974,0
8,3,1,12.8,4,0.01,10.5,0.8202438662,63,13,0.862670273,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,289,11,3813.597683,0,571.124389,0,15254.39073,0,571.7769974,0
9,3,1,12,4,0.01,10.5,0.7495331881,63,13,0.827314934,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,290,11,3621.25667,0,508.4244365,0,14485.02668,0,536.0409351,0
10,3,1,12,4,0.01,10.5,0.7424621202,63,13,0.8061017306,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,291,11,3528.403935,0,495.3879125,0,14113.61574,0,536.0409351,0
11,3,1,14.8,4,0.01,10.5,0.61730422,63,13,0.7495331881,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,292,11,3372.292849,0,583.9462297,0,13489.17139,0,661.1171533,0
12,3,1,14.8,4,0.01,10.5,0.578413347,63,13,0.6533666658,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,293,11,2939.621313,0,509.0248266,0,11758.48525,0,661.1171533,0
13,3,1,14.7,4,0.01,10.5,0.5465935419,63,13,0.6342747827,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,294,11,2851.972218,0,490.5107017,0,11407.88887,0,656.6501455,0
14,3,1,14.7,4,0.01,10.5,0.5126524164,63,13,0.5975052301,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,295,11,2686.640495,0,462.0752987,0,10746.56198,0,656.6501455,0
15,3,1,13.2,4,0.01,10.5,0.4560838739,63,13,0.5572001436,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,296,11,2473.428562,0,381.9963071,0,9893.714248,0,589.6450286,0
16,3,1,14.7,4,0.01,10.5,0.4949747468,63,13,0.5423509012,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,297,11,2438.642911,0,419.4221942,0,9754.571644,0,656.6501455,0
17,3,1,13.8,4,0.01,10.5,0.407293506,63,13,0.4461843789,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,298,11,1991.97566,0,321.6243901,0,7967.902641,0,616.4470754,0
18,3,1,13.8,4,0.01,10.5,0.3832518754,63,13,0.4277996026,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,299,11,1909.897424,0,308.3720381,0,7639.589695,0,616.4470754,0
