%kk,PairID,WaveType,T,D,A,hv,H1,x1,h1,H2,x2,h2,H3,x3,h3,H4,x4,h4,H5,x5,h5,H6,x6,h6,H7,x7,h7,H8,x8,h8,H9,x9,h9,Field,id,StudyID,nHfit,Cdval2,Difval2,R2val2,Bval2,slo,flatbed,ReMean, ReSd, KCMean, KCSd
19,3,1,13.8,0.1,0.01,10.5,0.346482323,63,13,0.372645274,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,300,11,,0.302911826,2.37E-14,,0.4,82.8,0,1663.662715,0,268.6149819,0
20,NaN,1,14.90207639,0.09,0.01,11.8,0.662294269,35,11.134,0.744708403,128,7.715307756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,797,43,,-0.444701614,999,,0.4,37.44121754,0,3420.808431,0,596.4326381,0
21,NaN,1,14.48260251,0.09,0.01,11.8,0.640418999,35,11.985,0.626200049,128,8.568535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,798,43,,1.156272088,1.75E-13,,0.4,37.46562602,0,2705.536256,0,458.4435122,0
22,NaN,1,13.66729591,0.09,0.01,11.8,0.523353367,35,12.396,0.62926309,128,8.9809325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,799,43,,-1.830874943,999,,0.4,37.48095755,0,2628.33317,0,420.2898241,0
23,NaN,1,13.983813,0.09,0.01,11.8,0.563784525,35,11.832,0.656973694,128,8.4272075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,800,43,,-1.144810386,999,,0.4,37.59406777,0,2853.000676,0,466.781187,0
24,NaN,1,13.17309686,0.09,0.01,11.8,0.515597967,35,11.767,0.513202783,128,8.3723825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,801,43,,1.080670383,1.18E-13,,0.4,37.70675194,0,2219.560331,0,342.0902537,0
25,NaN,1,14.95113173,0.09,0.01,11.8,0.608888596,35,12.615,0.580963207,128,9.2225725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,802,43,,1.608174837,3.21E-13,,0.4,37.73109374,0,2418.282895,0,423.0259737,0
26,NaN,1,9.040047775,0.09,0.01,11.8,0.543346935,35,12.829,0.542818144,128,9.4275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,803,43,,0.561788197,7.21E-14,,0.4,37.63045715,0,1995.914919,0,211.1050448,0
27,NaN,1,9.846262062,0.09,0.01,11.8,0.599442116,35,11.796,0.586212371,128,8.40077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,804,43,,0.953860505,1.41E-13,,0.4,37.69994964,0,2389.387351,0,275.2604482,0
28,NaN,1,13.75851917,0.09,0.01,11.8,0.617112632,35,11.055,0.458990715,128,7.6694675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,805,43,,5.157010953,2.61E-13,,0.4,37.80793716,0,2097.321979,0,337.6157225,0
29,NaN,1,13.90101498,0.09,0.01,11.8,0.582035017,35,11.576,0.396797811,128,8.1870475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,806,43,,7.421376151,2.43E-14,,0.4,37.76978285,0,1750.22925,0,284.6605673,0
30,NaN,1,15.46839526,0.09,0.01,11.8,0.824669287,35,12.249,0.686579482,128,8.857029769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,807,43,,2.797420196,3.29E-13,,0.4,37.73618024,0,2933.715644,0,530.944516,0
31,NaN,1,14.1977475,0.09,0.01,11.8,0.694848097,35,12.069,0.594324856,128,8.67938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,808,43,,2.850860773,3.18E-14,,0.4,37.76234504,0,2543.307636,0,422.4781036,0
32,NaN,1,12.35638001,0.09,0.01,11.8,0.453283238,35,11.845,0.514852281,128,8.4665975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,809,43,,-1.113813312,999,,0.4,37.88772948,0,2190.920947,0,316.740666,0
33,NaN,1,12.58901772,0.09,0.01,11.8,0.523059038,35,12.456,0.670527806,128,9.072353696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,810,43,,-2.788775315,999,,0.4,37.82901299,0,2749.217408,0,404.9363761,0
34,NaN,1,10.4900946,0.09,0.01,11.8,0.450576462,35,12.914,0.540489832,128,9.52164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,811,43,,-2.510887696,999,,0.4,37.7318445,0,2069.693536,0,254.0219875,0
35,NaN,1,10.7134065,0.09,0.01,11.8,0.478003529,35,12.199,0.50709766,128,8.8133775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,812,43,,-0.145836285,999,,0.4,37.80693211,0,2048.708297,0,256.799144,0
36,NaN,1,12.55798501,0.09,0.01,11.8,0.450001829,35,11.214,0.481577733,128,7.837335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,813,43,,-0.008502258,999,,0.4,37.90722503,0,2148.162619,0,315.6261495,0
