%kk,PairID,WaveType,T,D,A,hv,H1,x1,h1,H2,x2,h2,H3,x3,h3,H4,x4,h4,H5,x5,h5,H6,x6,h6,H7,x7,h7,H8,x8,h8,H9,x9,h9,Field,id,StudyID,nHfit,Cdval2,Difval2,R2val2,Bval2,slo,flatbed,ReMean,ReSd,KCMean,KCSd
1,7,1,1.6,0,0,0,0.1549318058,0,0.49,0.1549318058,2.44,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,363,14,-999,-999,-999,-999,-999,-999,-999,0,0,Inf,NaN
2,7,1,1.6,0,0,0,0.1275908989,0,0.53,0.1184772633,4.88,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,364,14,-999,-999,-999,-999,-999,-999,-999,0,0,Inf,NaN
3,7,1,1.6,0,0,0,0.1458181702,0,0.58,0.1367045345,9.75,0.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,365,14,-999,-999,-999,-999,-999,-999,-999,0,0,Inf,NaN
4,3,1,7.5,4,0.01,10.5,1.477853173,63,13,1.371787156,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,285,11,-999,-999,-999,-999,-999,-999,-999,5236.908861,0,459.5387526,0
5,3,1,8.8,4,0.01,10.5,1.209152596,63,13,1.258650071,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,286,11,-999,-999,-999,-999,-999,-999,-999,5121.773699,0,527.33782,0
6,3,1,13.5,4,0.01,10.5,0.940452019,63,13,1.166726189,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,287,11,-999,-999,-999,-999,-999,-999,-999,5194.232576,0,820.4290353,0
7,3,1,12.8,4,0.01,10.5,0.7990306627,63,13,0.975807358,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,288,11,-999,-999,-999,-999,-999,-999,-999,4313.741642,0,646.0259482,0
8,3,1,12.8,4,0.01,10.5,0.8202438662,63,13,0.862670273,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,289,11,-999,-999,-999,-999,-999,-999,-999,3813.597683,0,571.124389,0
9,3,1,12,4,0.01,10.5,0.7495331881,63,13,0.827314934,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,290,11,-999,-999,-999,-999,-999,-999,-999,3621.25667,0,508.4244365,0
10,3,1,12,4,0.01,10.5,0.7424621202,63,13,0.8061017306,414,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,291,11,-999,-999,-999,-999,-999,-999,-999,3528.403935,0,495.3879125,0
