%kk	PairID	WaveType	T	D	A	hv	H1	x1	h1	H2	x2	h2	H3	x3	h3	H4	x4	h4	H5	x5	h5	H6	x6	h6	H7	x7	h7	H8	x8	h8	H9	x9	h9	Field	id	StudyID
11	3	1	14.8	4	0.01	10.5	0.617304219975856	63	13	0.74953318805774	414	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	292	11
12	3	1	14.8	4	0.01	10.5	0.578413347010596	63	13	0.65336666581637	414	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	293	11
13	3	1	14.7	4	0.01	10.5	0.546593541857201	63	13	0.634274782724333	414	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	294	11
14	3	1	14.7	4	0.01	10.5	0.512652416360247	63	13	0.597505230102633	414	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	295	11
15	3	1	13.2	4	0.01	10.5	0.456083873865323	63	13	0.557200143575	414	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	296	11
16	3	1	14.7	4	0.01	10.5	0.494974746830583	63	13	0.542350901170082	414	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	297	11
17	3	1	13.8	4	0.01	10.5	0.407293505963451	63	13	0.446184378928711	414	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	298	11
18	3	1	13.8	4	0.01	10.5	0.383251875403109	63	13	0.427799602617861	414	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	299	11
19	3	1	13.8	4	0.01	10.5	0.346482322781408	63	13	0.372645273685311	414	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	300	11
20	NaN	1	14.90207639	9	0.01	11.8	0.662294268849008	35	11.134	0.744708403415987	128	7.715307756	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	797	43
21	NaN	1	14.48260251	9	0.01	11.8	0.640418999080621	35	11.985	0.626200048925491	128	8.568535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	798	43
22	NaN	1	13.66729591	9	0.01	11.8	0.523353366740057	35	12.396	0.6292630894851	128	8.9809325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	799	43
23	NaN	1	13.983813	9	0.01	11.8	0.563784524783137	35	11.832	0.656973693961663	128	8.4272075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	800	43
24	NaN	1	13.17309686	9	0.01	11.8	0.515597966565896	35	11.767	0.513202782662462	128	8.3723825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	801	43
25	NaN	1	14.95113173	9	0.01	11.8	0.608888595742394	35	12.615	0.580963206522744	128	9.2225725	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	802	43
26	NaN	1	9.040047775	9	0.01	11.8	0.543346934933366	35	12.829	0.542818143684728	128	9.4275	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	803	43
27	NaN	1	9.846262062	9	0.01	11.8	0.599442116096638	35	11.796	0.586212370630191	128	8.40077	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	804	43
28	NaN	1	13.75851917	9	0.01	11.8	0.617112632439234	35	11.055	0.45899071508985	128	7.6694675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	805	43
29	NaN	1	13.90101498	9	0.01	11.8	0.582035016985131	35	11.576	0.396797811422995	128	8.1870475	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	806	43
30	NaN	1	15.46839526	9	0.01	11.8	0.824669286846877	35	12.249	0.686579481899913	128	8.857029769	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	807	43
31	NaN	1	14.1977475	9	0.01	11.8	0.694848097264347	35	12.069	0.594324856187975	128	8.67938	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	808	43
32	NaN	1	12.35638001	9	0.01	11.8	0.453283238392566	35	11.845	0.51485228113738	128	8.4665975	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	809	43
33	NaN	1	12.58901772	9	0.01	11.8	0.52305903781651	35	12.456	0.670527806120956	128	9.072353696	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	810	43
34	NaN	1	10.4900946	9	0.01	11.8	0.450576461766973	35	12.914	0.540489832075975	128	9.52164	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	811	43
35	NaN	1	10.7134065	9	0.01	11.8	0.478003528744477	35	12.199	0.507097659479917	128	8.8133775	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	812	43
36	NaN	1	12.55798501	9	0.01	11.8	0.450001828669235	35	11.214	0.481577733255507	128	7.837335	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	813	43
37	NaN	1	12.26433	9	0.01	11.8	0.539475722485443	35	11.281	0.558702053885392	128	7.9044375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	814	43
38	NaN	1	10.90444588	9	0.01	11.8	0.506455642708881	35	12.022	0.637491050249566	128	8.64342	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	815	43
39	NaN	1	10.18450118	9	0.01	11.8	0.515772369571485	35	12.204	0.499047923703756	128	8.821695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	816	43
40	NaN	1	11.89753081	9	0.01	11.8	0.497850457211532	35	11.997	0.603477279772655	128	8.6195375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	817	43
41	NaN	1	12.66867036	9	0.01	11.8	0.493285639812494	35	12.26	0.468142729380824	128	8.8849825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	818	43
42	NaN	1	13.24357333	9	0.01	11.8	0.637142168867284	35	12.777	0.772845123664938	128	9.3981375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	819	43
43	NaN	1	12.10635743	9	0.01	11.8	0.613021794324535	35	12.495	0.443320377016189	128	9.115167299	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	820	43
44	NaN	1	11.08086432	9	0.01	11.8	0.467914677415659	35	11.502	0.467854379580012	128	8.126455692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	821	43
45	NaN	1	13.54899305	9	0.01	11.8	0.48137595622893	35	11.1	0.509776620352621	128	7.7269625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	822	43
46	NaN	1	10.90414331	9	0.01	11.8	0.443411818381986	35	11.668	0.418889308480118	128	8.2946879	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	823	43
47	NaN	1	11.71360154	9	0.01	11.8	0.554099147366048	35	12.183	0.489095363362671	128	8.80716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	824	43
48	NaN	1	11.62561595	9	0.01	11.8	0.488956667178128	35	12.12	0.587032911011747	128	8.7445025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	825	43
49	NaN	1	11.47441573	9	0.01	11.8	0.58520737712674	35	12.131	0.629655723315047	128	8.762857487	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	826	43
50	NaN	1	8.744772913	9	0.01	11.8	0.518686369024288	35	12.552	0.525852616191837	128	9.1808425	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	827	43
51	NaN	1	8.939932878	9	0.01	11.8	0.674984663480023	35	12.667	0.567839435687872	128	9.291190075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	828	43
52	NaN	1	10.85922941	9	0.01	11.8	0.566559517026342	35	11.894	0.554321535049789	128	8.516929977	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	829	43
53	NaN	1	13.49140219	9	0.01	11.8	0.632582598823448	35	11.107	0.622989314398265	128	7.735858044	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	830	43
54	NaN	1	13.81740951	9	0.01	11.8	0.916916932622333	35	11.344	1.01737760614342	128	7.986065	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	831	43
55	NaN	1	11.72893876	9	0.01	11.8	0.76176656867166	35	12.07	0.71763335478511	128	8.7234425	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	832	43
56	NaN	1	12.716875	9	0.01	11.8	0.929198987612252	35	12.249	0.713337399463733	128	8.909635	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	833	43
57	NaN	1	12.3444075	9	0.01	11.8	0.750679384164238	35	12.071	1.03293188130661	128	8.7373125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	834	43
58	NaN	1	12.40199999	9	0.01	11.8	0.864781119474361	35	12.292	0.739583610213384	128	8.9652675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	835	43
59	NaN	1	12.275	9	0.01	11.8	0.7342789185932	35	12.698	0.604175420346792	128	9.369955	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	836	43
60	NaN	1	11.84309006	9	0.01	11.8	0.605835112047703	35	12.28	0.637242234976903	128	8.946264601	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	837	43
61	NaN	1	13.14686635	9	0.01	11.8	0.876232470432732	35	11.334	0.853886912655875	128	8.008065656	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	838	43
62	NaN	1	12.51004782	9	0.01	11.8	0.826211818463054	35	11.144	0.64970275728753	128	7.829313416	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	839	43
63	NaN	1	11.8320458	9	0.01	11.8	0.715550917067914	35	11.903	0.775527909382551	128	8.595274234	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	840	43
64	NaN	1	12.46800336	9	0.01	11.8	0.824241293475391	35	12.404	0.78885465459505	128	9.096303807	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	841	43
65	NaN	1	11.73192177	9	0.01	11.8	0.879810403428149	35	12.142	0.835084828969862	128	8.837955501	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	842	43
66	NaN	1	11.46075891	9	0.01	11.8	0.738876555813858	35	12.066	0.843333644632026	128	8.7695025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	843	43
67	NaN	1	9.968992644	9	0.01	11.8	1.01247146164546	35	12.572	0.684633706301572	128	9.270165992	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	844	43
68	NaN	1	11.53690591	9	0.01	11.8	0.758992625899495	35	12.58	0.720065495334192	128	9.27797	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	845	43
69	NaN	1	11.75496154	9	0.01	11.8	0.690087696626	35	11.653	0.727195958401465	128	8.36093	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	846	43
70	NaN	1	10.88979016	9	0.01	11.8	0.619567917641011	35	11.074	0.695755089253936	128	7.779342903	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	847	43
71	NaN	1	11.500949	9	0.01	11.8	0.772902792098597	35	11.695	0.78259993694824	128	8.403194264	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	848	43
72	NaN	1	11.1768857	9	0.01	11.8	0.623507918145297	35	12.421	0.596829858649184	128	9.120615	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	849	43
73	NaN	1	12.1484254	9	0.01	11.8	0.721384354141637	35	12.238	0.552456439922825	128	8.9364325	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	850	43
74	NaN	1	10.44569449	9	0.01	11.8	0.600901453281265	35	11.894	0.562966777902678	128	8.603505	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	851	43
75	NaN	1	8.606845143	9	0.01	11.8	0.699452317530621	35	12.351	0.575262740292008	128	9.05755	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	852	43
76	NaN	1	9.980960668	9	0.01	11.8	0.761604091473345	35	12.732	0.569868264516206	128	9.433187761	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	853	43
77	NaN	1	12.21020667	9	0.01	11.8	0.73774112355482	35	12.013	0.609963442038282	128	8.7164375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	854	43
78	NaN	1	13.13788232	9	0.01	11.8	0.735138339968665	35	11.167	0.719939836442162	128	7.8763075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	855	43
79	NaN	1	12.16799552	9	0.01	11.8	0.792486971179769	35	11.535	0.975671143295126	128	8.24119474	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	856	43
80	NaN	1	10.9560531	9	0.01	11.8	0.715760715869496	35	12.415	0.661208766605805	128	9.113349408	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	857	43
81	NaN	1	13.38234485	9	0.01	11.8	0.738947156592926	35	12.365	0.865759307579317	128	9.0673975	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	858	43
82	NaN	1	12.93606255	9	0.01	11.8	0.732945231714022	35	11.789	0.80286456633807	128	8.4943275	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	859	43
83	NaN	1	12.08542974	9	0.01	11.8	0.635668139088094	35	12.053	0.639975838944476	128	8.7629375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	860	43
84	NaN	1	11.39605723	9	0.01	11.8	0.542644743401014	35	12.699	0.626294420223619	128	9.401133467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	861	43
85	NaN	1	13.02570706	9	0.01	11.8	0.677779309453618	35	12.297	0.584189283362512	128	8.995143419	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	862	43
86	NaN	1	12.346241	9	0.01	11.8	0.84071751177424	35	11.312	0.808844697519727	128	8.018358183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	863	43
87	NaN	1	14.88549391	9	0.01	11.8	1.1928087489351	35	11.407	1.00142163830707	128	8.1211675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	864	43
88	NaN	1	12.50413242	9	0.01	11.8	0.844084787309951	35	12.363	0.74029068941859	128	9.082650944	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	865	43
89	NaN	1	11.15788088	9	0.01	11.8	0.808893161138299	35	12.48	0.71770925920919	128	9.20412692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	866	43
90	NaN	1	14.97413519	9	0.01	11.8	0.964848373970347	35	11.785	1.22086041051031	128	8.52520052	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	867	43
91	NaN	1	14.36105733	9	0.01	11.8	1.08728061958466	35	11.783	1.07033913261111	128	8.539848158	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	868	43
92	NaN	1	12.46698521	9	0.01	11.8	0.926132910265078	35	12.564	0.978299457649495	128	9.323081951	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	869	43
93	NaN	1	14.10920283	9	0.01	11.8	1.12299030282434	35	12.516	1.31178202863705	128	9.277394784	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	870	43
94	NaN	1	12.95968031	9	0.01	11.8	1.00136901210473	35	11.561	1.09077131768502	128	8.32817	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	871	43
95	NaN	1	13.05128846	9	0.01	11.8	0.989300095142425	35	11.382	0.922787327295768	128	8.1671625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	872	43
96	NaN	1	12.60510426	9	0.01	11.8	1.31269077992173	35	12.272	1.20545125429442	128	9.0642125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	873	43
97	NaN	1	13.01532585	9	0.01	11.8	1.11682418343087	35	12.604	1.15304149104237	128	9.391577725	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	874	43
